epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,443.374,2.09737,1.71649,1.42731,0.55481,0.2515,0.20466,0.08855,1.69887,3.01464,1.21276,0.00333154,0.00333154,0.0700161
2,865.346,1.73822,1.23444,1.23956,0.52968,0.31533,0.3268,0.15642,1.54557,2.07372,1.12824,0.00644494,0.00644494,0.0397962
3,1287.04,1.64364,1.10843,1.19415,0.52373,0.35781,0.37119,0.18057,1.48331,1.92931,1.09386,0.00933833,0.00933833,0.00935622
4,1707.86,1.58532,1.03972,1.16155,0.62599,0.41182,0.4252,0.21418,1.4368,1.62646,1.06933,0.00901,0.00901,0.00901
5,2125.85,1.54477,0.98769,1.14415,0.62045,0.39189,0.44318,0.22211,1.41807,1.46012,1.05586,0.00868,0.00868,0.00868
6,2544.04,1.51468,0.95236,1.12997,0.68876,0.44645,0.4767,0.24476,1.38964,1.32099,1.0456,0.00835,0.00835,0.00835
7,2962,1.48549,0.92229,1.11585,0.71074,0.4627,0.49659,0.25478,1.3785,1.19864,1.03915,0.00802,0.00802,0.00802
8,3377.14,1.47185,0.90426,1.1092,0.71095,0.47266,0.52269,0.26832,1.35908,1.12806,1.03087,0.00769,0.00769,0.00769
9,3786.32,1.45553,0.88472,1.10261,0.75269,0.48675,0.5427,0.28231,1.34651,1.12424,1.02032,0.00736,0.00736,0.00736
10,4190.44,1.43723,0.8669,1.09105,0.73951,0.499,0.56695,0.28998,1.33701,0.97987,1.01692,0.00703,0.00703,0.00703
11,4595.65,1.42745,0.85169,1.08825,0.74316,0.51858,0.58181,0.30565,1.32117,1.06368,1.00964,0.0067,0.0067,0.0067
12,5001.61,1.41357,0.84012,1.08298,0.74722,0.52328,0.59303,0.3138,1.30779,1.05325,1.00562,0.00637,0.00637,0.00637
13,5404.95,1.40458,0.82768,1.07843,0.76326,0.53076,0.60716,0.31684,1.29851,0.98118,0.9982,0.00604,0.00604,0.00604
14,5809.21,1.38943,0.81459,1.0721,0.70903,0.56511,0.62985,0.33098,1.28755,0.97712,0.99309,0.00571,0.00571,0.00571
15,6209.12,1.37893,0.80473,1.07004,0.74697,0.57989,0.64667,0.34238,1.27419,0.98289,0.98679,0.00538,0.00538,0.00538
16,6617.95,1.37016,0.79166,1.06551,0.76155,0.58312,0.66374,0.35085,1.26451,0.92528,0.98455,0.00505,0.00505,0.00505
17,7023.21,1.35646,0.78173,1.05966,0.70459,0.62326,0.67266,0.35731,1.25325,0.93116,0.97813,0.00472,0.00472,0.00472
18,7429.5,1.34441,0.76989,1.0536,0.77137,0.60772,0.68305,0.36369,1.24558,0.87565,0.97584,0.00439,0.00439,0.00439
19,7834.95,1.33879,0.76254,1.04935,0.79186,0.59786,0.69278,0.36713,1.23812,0.8736,0.97118,0.00406,0.00406,0.00406
20,8242.4,1.33049,0.75441,1.04549,0.72308,0.64712,0.69738,0.37227,1.23079,0.85403,0.96787,0.00373,0.00373,0.00373
21,8676.33,1.33902,0.73217,1.06347,0.77807,0.63803,0.71178,0.38065,1.22113,0.81685,0.96562,0.0034,0.0034,0.0034
22,9078.31,1.32294,0.71673,1.05724,0.79155,0.6386,0.71625,0.38753,1.21,0.81749,0.96301,0.00307,0.00307,0.00307
23,9478.17,1.31287,0.70643,1.05177,0.81348,0.6296,0.71985,0.39253,1.20165,0.80829,0.95894,0.00274,0.00274,0.00274
24,9878.19,1.29926,0.695,1.04637,0.79924,0.64153,0.72786,0.39897,1.19424,0.78394,0.95569,0.00241,0.00241,0.00241
25,10278.7,1.28828,0.68612,1.04405,0.79409,0.65349,0.73833,0.40527,1.18753,0.78099,0.9533,0.00208,0.00208,0.00208
26,10680.8,1.27816,0.67768,1.03937,0.81425,0.66088,0.74409,0.40961,1.18114,0.77584,0.95103,0.00175,0.00175,0.00175
27,11080.7,1.26851,0.66791,1.03423,0.83197,0.65937,0.74958,0.41268,1.17594,0.76656,0.94873,0.00142,0.00142,0.00142
28,11478.8,1.25705,0.66003,1.03011,0.83155,0.66548,0.75214,0.41503,1.17123,0.75917,0.94691,0.00109,0.00109,0.00109
29,11879.6,1.2479,0.65334,1.02828,0.82472,0.67466,0.75433,0.41733,1.16724,0.75383,0.9454,0.00076,0.00076,0.00076
30,12279.9,1.23853,0.64569,1.02326,0.832,0.67522,0.75682,0.41905,1.16406,0.75035,0.9441,0.00043,0.00043,0.00043
